unique_good_name;dealer_good_name
VARTA Silver Dynamic AGM F21 80.0;580901080 D852 VARTA Silver DYN AGM F21 80Ah St R+
Varta Silver Dynamic F18 85.0;585200080 3132 VARTA Silver Dynamic F18 85Ah R+ низ
Varta Silver Dynamic F19 85.0;585400080 3132 VARTA Silver Dynamic F19 85Ah St R+
Varta Blue Dynamic G8 95.1;595 405 08 VARTA Blue Dynamic  G8 95Ah Jis L+
Varta Blue Dynamic G3 95.0;595402080 3132 VARTA Blue Dynamic G3 95Ah St R+
Energizer EP95L5;595402080 6742 EP95 L5 ENERGIZER PLUS, 95Ah,R+  St
Energizer EP95L5;595402080 6742 EP95 L5 ENERGIZER PLUS, 95Ah,R+ St 2019
Varta Blue Dynamic G7 95.0;595404083 3132 VARTA Blue Dynamic G7 95Ah JisR+
Energizer EP95J;595404083 6742 ENERGIZER PLUS, 95Ah,R+ CZ
Energizer EP95J;595404083 6742 EP95J ENERGIZER PLUS, 95Ah, JIS,  R+
Energizer EP95J;595404083 6742 EP95J ENERGIZER PLUS, 95Ah, JIS, R+2019
Energizer EP95J;595404083 I162 EP95J ENERGIZER PLUS, 95Ah,R+
Varta Blue Dynamic G7 95.0;595404083 VARTA Blue Dynamic G7 95Ah Jis R+
Varta Blue Dynamic G8 95.1;595405083 3132 VARTA Blue Dynamic G8 95Ah Jis L+
Energizer EP95JX;595405083 6742  EP95JX ENERGIZER PLUS, 95Ah,Jis L+
Energizer EP95JX;595405083 6742  EP95JX ENERGIZER PLUS, 95Ah,Jis L+ 2019
Energizer EP95JX;595405083 6742 ENERGIZER PLUS, 95Ah, L+ CZ
Energizer EP95JX;595405083 I162 EP95JX ENERGIZER PLUS, 95Ah, L+
Energizer AGM EA95L5;595901085 182 EA95-L5 ENERGIZER AGM 95Ah, R+
Energizer AGM EA95L5;595901085 C572 ENERGIZER AGM, 95Ah,R+
Energizer AGM EA95L5;595901085 C572 ENERGIZER AGM, 95Ah,R+ 2019
Energizer AGM EA95L5;595901085 C572 ENERGIZER AGM, 95Ah,R+ DE
Varta Silver Dynamic AGM  G14 95.0;595901085 D852 VARTA Silver DYN AGM  G14 95Ah R+ AGM
Varta Silver Dynamic H3 100.0;600 402 083 3162 VARTA Silver Dynamic H 3 100Ah St
Varta Silver Dynamic H3 100.0;600402083 3162 VARTA Silver Dynamic H3 100Ah St R+
Energizer EM100L5;600402083 6732 EM100-L5 ENERGIZER PREMIUM 100Ah, R+
